gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,3,32320,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438157,0,69.3526,,0.0,20.04,6684.34
gfx950,256,4,32320,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438157,0,68.6686,,0.0,26.99,6752.08
gfx950,256,12,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438424,0,11.2601,,0.0,20.11,1692.59
gfx950,256,12,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438666,0,14.6561,,0.0,48.08,4024.98
gfx950,256,12,32320,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438157,0,68.8739,,0.0,80.73,6741.12
gfx950,256,16,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437567,0,11.7948,,0.0,25.60,1621.07
gfx950,256,16,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437696,0,14.7775,,0.0,63.58,3998.03
gfx950,256,16,32320,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438157,0,68.6392,,0.0,108.01,6768.77
gfx950,256,32,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437714,0,11.8881,,0.0,50.81,1629.01
gfx950,256,32,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437893,0,15.4361,,0.0,121.73,3850.78
gfx950,256,128,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437958,0,11.0801,,0.0,218.04,1880.89
gfx950,256,128,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437581,0,18.4481,,0.0,407.42,3339.30
gfx950,256,8193,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437980,0,123.7544,,0.0,1249.55,1169.40
gfx950,256,8193,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437780,0,290.4384,,0.0,1656.44,837.67
gfx950,256,8193,8192,512,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438541,0,71.9846,,0.0,954.76,2097.84
gfx950,256,16386,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437585,0,59.8178,,0.0,1005.33,4128.69
gfx950,256,16386,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438570,0,320.4520,,0.0,1548.22,1043.53
gfx950,256,16386,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437875,0,218.1952,,0.0,1417.43,1240.01
gfx950,256,16386,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437832,0,608.5625,,0.0,1581.09,703.07
gfx950,256,16386,8192,512,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438556,0,142.5519,,0.0,964.25,2059.85
gfx950,256,24579,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437482,0,93.0421,,0.0,969.51,3961.85
gfx950,256,24579,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,438710,0,514.6735,,0.0,1445.95,945.19
gfx950,256,24579,6144,1536,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437832,0,314.2172,,0.0,1476.41,1261.57
gfx950,256,24579,7168,4096,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437837,0,813.7132,,0.0,1773.70,752.64
gfx950,256,24579,8192,512,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437922,0,193.7855,,0.0,1063.98,2251.25
gfx950,256,30720,256,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437546,0,99.6915,,0.0,1130.92,4612.24
gfx950,256,30720,2112,7168,False,torch.bfloat16,torch.bfloat16,False,False,hipblaslt,437878,0,616.8356,,0.0,1507.90,973.42
